threshold,percent_cells_labelled,num_cells_labelled,spatial_autocorr,confidence_interval,year
20.0,7.950530035335689,630,"{'I': np.float64(0.8662152037343116), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.4006216659430041), 'upper': np.float64(0.41606777665572303), 'width': np.float64(0.015446110712718952)}",2016
21.05263157894737,7.836951034830894,621,"{'I': np.float64(0.8634948002099815), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.4005787384805414), 'upper': np.float64(0.4161523247115386), 'width': np.float64(0.01557358623099725)}",2016
22.105263157894736,7.6602725896012105,607,"{'I': np.float64(0.8580080615483078), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.4002362766283657), 'upper': np.float64(0.4159151104872112), 'width': np.float64(0.015678833858845498)}",2016
23.157894736842106,7.521453811206462,596,"{'I': np.float64(0.8601787815881471), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.4005711268359868), 'upper': np.float64(0.4164180312640487), 'width': np.float64(0.015846904428061914)}",2016
24.210526315789473,7.332155477031802,581,"{'I': np.float64(0.8621782801345445), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.4004247549626742), 'upper': np.float64(0.41648830954654464), 'width': np.float64(0.016063554583870432)}",2016
25.263157894736842,7.231196365471984,573,"{'I': np.float64(0.8725752606540245), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.4000768021214266), 'upper': np.float64(0.4162574268684359), 'width': np.float64(0.01618062474700932)}",2016
26.315789473684212,7.1554770318021195,567,"{'I': np.float64(0.8801212253820422), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.39992238650483847), 'upper': np.float64(0.41622259535605755), 'width': np.float64(0.016300208851219078)}",2016
27.36842105263158,7.092377587077234,562,"{'I': np.float64(0.880129981321679), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.40053374727539265), 'upper': np.float64(0.4169314504871979), 'width': np.float64(0.016397703211805226)}",2016
28.421052631578945,7.016658253407371,556,"{'I': np.float64(0.8792516424083582), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.4000352384484831), 'upper': np.float64(0.416543484953262), 'width': np.float64(0.01650824650477889)}",2016
29.473684210526315,6.9156991418475515,548,"{'I': np.float64(0.8794773558489647), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.3994836275625719), 'upper': np.float64(0.4161832802996385), 'width': np.float64(0.01669965273706664)}",2016
30.526315789473685,6.802120141342756,539,"{'I': np.float64(0.8842491286026494), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.3990160900266461), 'upper': np.float64(0.41576665790851514), 'width': np.float64(0.016750567881869016)}",2016
31.57894736842105,6.73902069661787,534,"{'I': np.float64(0.8841051163664608), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.39971473185870104), 'upper': np.float64(0.41655547025114364), 'width': np.float64(0.0168407383924426)}",2016
32.631578947368425,6.625441696113074,525,"{'I': np.float64(0.9023384349232916), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.398861155615661), 'upper': np.float64(0.41572130486969733), 'width': np.float64(0.01686014925403634)}",2016
33.68421052631579,6.574962140333166,521,"{'I': np.float64(0.9036343686475315), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.3982153813976108), 'upper': np.float64(0.4151494574881539), 'width': np.float64(0.016934076090543093)}",2016
34.73684210526316,6.448763250883392,511,"{'I': np.float64(0.9015991162914061), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.39733627568850816), 'upper': np.float64(0.41430835783915265), 'width': np.float64(0.016972082150644496)}",2016
35.78947368421053,6.322564361433619,501,"{'I': np.float64(0.9120574453799054), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.39633923904269236), 'upper': np.float64(0.4135002493767323), 'width': np.float64(0.01716101033403994)}",2016
36.84210526315789,6.1585058051489145,488,"{'I': np.float64(0.8996854723983464), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.39593211624450797), 'upper': np.float64(0.4132120407223312), 'width': np.float64(0.017279924477823227)}",2016
37.89473684210526,6.057546693589097,480,"{'I': np.float64(0.9003493348805881), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.39635081444626247), 'upper': np.float64(0.413869518180178), 'width': np.float64(0.01751870373391551)}",2016
38.94736842105263,5.906108026249369,468,"{'I': np.float64(0.8975742379439055), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.3959100423503278), 'upper': np.float64(0.4136883038998207), 'width': np.float64(0.017778261549492913)}",2016
40.0,5.767289247854619,457,"{'I': np.float64(0.8941167507848807), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.3963330516713555), 'upper': np.float64(0.4143086653375421), 'width': np.float64(0.017975613666186607)}",2016
