threshold,percent_cells_labelled,percent_cells_min,percent_cells_max,num_years,spatial_autocorr,confidence_interval
20.0,9.589012283358572,7.950530035335689,12.758707723372034,6,"{'I': np.float64(0.8687060459435109), 'I_min': np.float64(0.8264215338110557), 'I_max': np.float64(0.9071724911351527), 'p_value': np.float64(0.001)}","{'width': np.float64(0.014334423890983328), 'width_min': np.float64(0.011046872335196078), 'width_max': np.float64(0.017029982432384627)}"
21.05263157894737,9.40392057883224,7.836951034830894,12.518929833417467,6,"{'I': np.float64(0.8666027283486577), 'I_min': np.float64(0.8238907519047675), 'I_max': np.float64(0.9036143162733397), 'p_value': np.float64(0.001)}","{'width': np.float64(0.014439241155233262), 'width_min': np.float64(0.01118826647990201), 'width_max': np.float64(0.01714864264811433)}"
22.105263157894736,9.229345448426722,7.6602725896012105,12.304391721352852,6,"{'I': np.float64(0.8653859687099362), 'I_min': np.float64(0.8313594190971874), 'I_max': np.float64(0.8990451134509041), 'p_value': np.float64(0.001)}","{'width': np.float64(0.014542306011338066), 'width_min': np.float64(0.011258504314289208), 'width_max': np.float64(0.017297357479995723)}"
23.157894736842106,9.048460373548712,7.521453811206462,12.051993942453306,6,"{'I': np.float64(0.8646513466062173), 'I_min': np.float64(0.8297322189314094), 'I_max': np.float64(0.9012579510397312), 'p_value': np.float64(0.001)}","{'width': np.float64(0.014703513842834748), 'width_min': np.float64(0.01135254401364394), 'width_max': np.float64(0.01753462018397134)}"
24.210526315789473,8.880195187615682,7.332155477031802,11.850075719333669,6,"{'I': np.float64(0.8631285304448723), 'I_min': np.float64(0.8349782384643484), 'I_max': np.float64(0.8976924107619062), 'p_value': np.float64(0.001)}","{'width': np.float64(0.014833659232351729), 'width_min': np.float64(0.011425077213791823), 'width_max': np.float64(0.01766723033999229)}"
25.263157894736842,8.735066464748442,7.231196365471984,11.723876829883897,6,"{'I': np.float64(0.8658356342364727), 'I_min': np.float64(0.8415033601359642), 'I_max': np.float64(0.8981635380009088), 'p_value': np.float64(0.001)}","{'width': np.float64(0.014955004786817272), 'width_min': np.float64(0.01156517139487534), 'width_max': np.float64(0.017865293635129786)}"
26.315789473684212,8.592041056705368,7.117617364967188,11.547198384654216,6,"{'I': np.float64(0.8700220330380799), 'I_min': np.float64(0.842666248552147), 'I_max': np.float64(0.9008382658354731), 'p_value': np.float64(0.001)}","{'width': np.float64(0.015064877298453813), 'width_min': np.float64(0.01161739202727663), 'width_max': np.float64(0.018083399819888046)}"
27.36842105263158,8.453222278310617,6.978798586572438,11.332660272589601,6,"{'I': np.float64(0.8705785308203001), 'I_min': np.float64(0.8422153328557361), 'I_max': np.float64(0.9012038894520302), 'p_value': np.float64(0.001)}","{'width': np.float64(0.015207514857724888), 'width_min': np.float64(0.01177039178416106), 'width_max': np.float64(0.018222965641470967)}"
28.421052631578945,8.335436648157495,6.9283190307925295,11.15598182735992,6,"{'I': np.float64(0.8692246001140282), 'I_min': np.float64(0.8440651115276978), 'I_max': np.float64(0.9003286382346768), 'p_value': np.float64(0.001)}","{'width': np.float64(0.015297216144206649), 'width_min': np.float64(0.01182034778099994), 'width_max': np.float64(0.0183042378905226)}"
29.473684210526315,8.202927814235235,6.852599697122665,10.96668349318526,6,"{'I': np.float64(0.8726634198427102), 'I_min': np.float64(0.8522103960878563), 'I_max': np.float64(0.8961371236254444), 'p_value': np.float64(0.001)}","{'width': np.float64(0.01538628510761795), 'width_min': np.float64(0.011915990789244435), 'width_max': np.float64(0.01836847794187102)}"
