threshold,percent_cells_labelled,num_cells_labelled,spatial_autocorr,confidence_interval,year
20.0,12.758707723372034,1011,"{'I': np.float64(0.8264215338110557), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.4117672025305387), 'upper': np.float64(0.42319351797510246), 'width': np.float64(0.01142631544456374)}",2017
21.05263157894737,12.518929833417467,992,"{'I': np.float64(0.8238907519047675), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.41171650875070154), 'upper': np.float64(0.42321912886039803), 'width': np.float64(0.011502620109696493)}",2017
22.105263157894736,12.304391721352852,975,"{'I': np.float64(0.8313594190971874), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.411818211010009), 'upper': np.float64(0.4234069157215679), 'width': np.float64(0.011588704711558928)}",2017
23.157894736842106,12.051993942453306,955,"{'I': np.float64(0.8297322189314094), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.4110187301922456), 'upper': np.float64(0.42265937311594587), 'width': np.float64(0.011640642923700262)}",2017
24.210526315789473,11.850075719333669,939,"{'I': np.float64(0.8349782384643484), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.4103197657708789), 'upper': np.float64(0.42199324937092264), 'width': np.float64(0.011673483600043721)}",2017
25.263157894736842,11.723876829883897,929,"{'I': np.float64(0.8418972259670024), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.4096314357379547), 'upper': np.float64(0.42135668562400164), 'width': np.float64(0.011725249886046951)}",2017
26.315789473684212,11.547198384654216,915,"{'I': np.float64(0.842666248552147), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.4096396367049511), 'upper': np.float64(0.4214975662278421), 'width': np.float64(0.011857929522890998)}",2017
27.36842105263158,11.332660272589601,898,"{'I': np.float64(0.8422153328557361), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.4097824082010179), 'upper': np.float64(0.421784040348077), 'width': np.float64(0.012001632147059071)}",2017
28.421052631578945,11.15598182735992,884,"{'I': np.float64(0.845041056577839), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.4088336169674722), 'upper': np.float64(0.42090284462849303), 'width': np.float64(0.01206922766102081)}",2017
29.473684210526315,10.96668349318526,869,"{'I': np.float64(0.8539554871167679), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.40880808853997813), 'upper': np.float64(0.42098430653202407), 'width': np.float64(0.012176217992045935)}",2017
30.526315789473685,10.752145381120647,852,"{'I': np.float64(0.8587690504411708), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.40820491285340904), 'upper': np.float64(0.42048785512080683), 'width': np.float64(0.01228294226739779)}",2017
31.57894736842105,10.575466935890965,838,"{'I': np.float64(0.8583216600893762), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.40841144168490545), 'upper': np.float64(0.42081100481068584), 'width': np.float64(0.012399563125780388)}",2017
32.631578947368425,10.36092882382635,821,"{'I': np.float64(0.8590266515830066), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.4081714421391391), 'upper': np.float64(0.4206775388727138), 'width': np.float64(0.012506096733574723)}",2017
33.68421052631579,10.196870267541644,808,"{'I': np.float64(0.864042752385568), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.40797938333878114), 'upper': np.float64(0.42057669089536076), 'width': np.float64(0.012597307556579618)}",2017
34.73684210526316,10.045431600201917,796,"{'I': np.float64(0.8566398889459966), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.4078138145682227), 'upper': np.float64(0.4205241804292272), 'width': np.float64(0.012710365861004491)}",2017
35.78947368421053,9.856133266027259,781,"{'I': np.float64(0.8562874392747214), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.40790996552293146), 'upper': np.float64(0.42076870069980343), 'width': np.float64(0.012858735176871972)}",2017
36.84210526315789,9.704694598687531,769,"{'I': np.float64(0.8589238861657548), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.4068174733798009), 'upper': np.float64(0.41975225351352363), 'width': np.float64(0.012934780133722734)}",2017
37.89473684210526,9.540636042402827,756,"{'I': np.float64(0.8653028302556525), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.4056603485037368), 'upper': np.float64(0.4185854130650771), 'width': np.float64(0.01292506456134035)}",2017
38.94736842105263,9.414437152953054,746,"{'I': np.float64(0.8713971596322564), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.40571194651097875), 'upper': np.float64(0.41869916826215214), 'width': np.float64(0.012987221751173395)}",2017
40.0,9.237758707723371,732,"{'I': np.float64(0.8647068104820542), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.40532593594244015), 'upper': np.float64(0.4184598758140916), 'width': np.float64(0.013133939871651457)}",2017
