threshold,percent_cells_labelled,num_cells_labelled,spatial_autocorr,confidence_interval,year
20.0,8.076728924785462,640,"{'I': np.float64(0.9071724911351527), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.44133891461751357), 'upper': np.float64(0.4583688970498982), 'width': np.float64(0.017029982432384627)}",2019
21.05263157894737,7.887430590610803,625,"{'I': np.float64(0.9015694638898326), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.44038942303493545), 'upper': np.float64(0.4575380656830498), 'width': np.float64(0.01714864264811433)}",2019
22.105263157894736,7.6855123674911665,609,"{'I': np.float64(0.8912422460201691), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.4395026858415072), 'upper': np.float64(0.4568000433215029), 'width': np.float64(0.017297357479995723)}",2019
23.157894736842106,7.534073700151439,597,"{'I': np.float64(0.8921836916195647), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.4392844490687636), 'upper': np.float64(0.45681906925273497), 'width': np.float64(0.01753462018397134)}",2019
24.210526315789473,7.395254921756688,586,"{'I': np.float64(0.8907425976405282), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.4405507344955278), 'upper': np.float64(0.4582179648355201), 'width': np.float64(0.01766723033999229)}",2019
25.263157894736842,7.256436143361938,575,"{'I': np.float64(0.8981635380009088), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.4411578127675404), 'upper': np.float64(0.4590231064026702), 'width': np.float64(0.017865293635129786)}",2019
26.315789473684212,7.117617364967188,564,"{'I': np.float64(0.8969796056863498), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.44041040217963107), 'upper': np.float64(0.4584938019995191), 'width': np.float64(0.018083399819888046)}",2019
27.36842105263158,6.978798586572438,553,"{'I': np.float64(0.9012038894520302), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.43904443384235414), 'upper': np.float64(0.4572673994838251), 'width': np.float64(0.018222965641470967)}",2019
28.421052631578945,6.9283190307925295,549,"{'I': np.float64(0.9003286382346768), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.43903287056992213), 'upper': np.float64(0.45733710846044473), 'width': np.float64(0.0183042378905226)}",2019
29.473684210526315,6.865219586067643,544,"{'I': np.float64(0.8961371236254444), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.43905318065873705), 'upper': np.float64(0.45742165860060807), 'width': np.float64(0.01836847794187102)}",2019
30.526315789473685,6.764260474507824,536,"{'I': np.float64(0.8937604612194985), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.4382413650748661), 'upper': np.float64(0.45678690583237713), 'width': np.float64(0.018545540757511025)}",2019
31.57894736842105,6.612821807168097,524,"{'I': np.float64(0.9055426462662072), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.4389109133185182), 'upper': np.float64(0.45766664669902096), 'width': np.float64(0.018755733380502737)}",2019
32.631578947368425,6.474003028773347,513,"{'I': np.float64(0.889958735663623), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.43763348588712747), 'upper': np.float64(0.4563648407636398), 'width': np.float64(0.01873135487651234)}",2019
33.68421052631579,6.347804139323573,503,"{'I': np.float64(0.8984070109257006), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.43657881796475545), 'upper': np.float64(0.45542202604177723), 'width': np.float64(0.018843208077021778)}",2019
34.73684210526316,6.297324583543665,499,"{'I': np.float64(0.9006674454466677), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.43637445228207195), 'upper': np.float64(0.4553127276507736), 'width': np.float64(0.01893827536870163)}",2019
35.78947368421053,6.27208480565371,497,"{'I': np.float64(0.9003624192132769), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.43696227198850796), 'upper': np.float64(0.4559035642915458), 'width': np.float64(0.01894129230303787)}",2019
36.84210526315789,6.120646138313983,485,"{'I': np.float64(0.9022994113394903), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.43816792652154446), 'upper': np.float64(0.45735776862613453), 'width': np.float64(0.01918984210459007)}",2019
37.89473684210526,5.918727915194346,469,"{'I': np.float64(0.8957298476604048), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.4355666743395529), 'upper': np.float64(0.4548086992650934), 'width': np.float64(0.019242024925540502)}",2019
38.94736842105263,5.7799091367995965,458,"{'I': np.float64(0.89686610757797), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.4360883220154393), 'upper': np.float64(0.4555914730113864), 'width': np.float64(0.019503150995947127)}",2019
40.0,5.641090358404846,447,"{'I': np.float64(0.9141491575781006), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.43345006888276616), 'upper': np.float64(0.45304494577899224), 'width': np.float64(0.019594876896226077)}",2019
