threshold,percent_cells_labelled,num_cells_labelled,spatial_autocorr,confidence_interval,year
20.0,7.988389702170622,633,"{'I': np.float64(0.8663758462548142), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.39960485940406615), 'upper': np.float64(0.41425741866340277), 'width': np.float64(0.014652559259336617)}",2015
21.05263157894737,7.887430590610803,625,"{'I': np.float64(0.8637348745522081), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.3990106646321532), 'upper': np.float64(0.4137902355525135), 'width': np.float64(0.014779570920360308)}",2015
22.105263157894736,7.811711256940939,619,"{'I': np.float64(0.8679542463571143), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.39894083146177295), 'upper': np.float64(0.41376522726300335), 'width': np.float64(0.014824395801230406)}",2015
23.157894736842106,7.597173144876325,602,"{'I': np.float64(0.8597425018202962), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.39917492345546546), 'upper': np.float64(0.41417047204135127), 'width': np.float64(0.01499554858588581)}",2015
24.210526315789473,7.382635032811711,585,"{'I': np.float64(0.8518643946501373), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.3991056733407382), 'upper': np.float64(0.41432520253379), 'width': np.float64(0.015219529193051806)}",2015
25.263157894736842,7.2816759212518924,577,"{'I': np.float64(0.8506649128849112), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.39940919643888445), 'upper': np.float64(0.4147609243446934), 'width': np.float64(0.015351727905808965)}",2015
26.315789473684212,7.1554770318021195,567,"{'I': np.float64(0.8516294058825717), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.39898201881094986), 'upper': np.float64(0.41451408633507025), 'width': np.float64(0.015532067524120396)}",2015
27.36842105263158,7.0545179202423025,559,"{'I': np.float64(0.8512779742333757), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.399183403575462), 'upper': np.float64(0.4148709115899474), 'width': np.float64(0.015687508014485374)}",2015
28.421052631578945,6.9283190307925295,549,"{'I': np.float64(0.8440651115276978), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.39863426618074405), 'upper': np.float64(0.41440065260088055), 'width': np.float64(0.015766386420136502)}",2015
29.473684210526315,6.852599697122665,543,"{'I': np.float64(0.8522103960878563), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.39743932204521), 'upper': np.float64(0.4130358255248732), 'width': np.float64(0.015596503479663237)}",2015
30.526315789473685,6.6506814740030284,527,"{'I': np.float64(0.8514831447724127), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.39677191104672166), 'upper': np.float64(0.41264603753633583), 'width': np.float64(0.01587412648961417)}",2015
31.57894736842105,6.486622917718324,514,"{'I': np.float64(0.8379277927681393), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.39513878967220945), 'upper': np.float64(0.4111014838842793), 'width': np.float64(0.01596269421206986)}",2015
32.631578947368425,6.347804139323573,503,"{'I': np.float64(0.8333618673348154), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.3936293064308847), 'upper': np.float64(0.4096856196843853), 'width': np.float64(0.016056313253500654)}",2015
33.68421052631579,6.246845027763755,495,"{'I': np.float64(0.8307812154813634), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.393476904657316), 'upper': np.float64(0.40970493167360633), 'width': np.float64(0.016228027016290336)}",2015
34.73684210526316,6.1585058051489145,488,"{'I': np.float64(0.8300622042946595), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.3934376499715061), 'upper': np.float64(0.4098356264731794), 'width': np.float64(0.016397976501673295)}",2015
35.78947368421053,5.969207470974255,473,"{'I': np.float64(0.8333382552971245), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.3928848299520606), 'upper': np.float64(0.4093738539107801), 'width': np.float64(0.01648902395871954)}",2015
36.84210526315789,5.880868248359414,466,"{'I': np.float64(0.8317675342807963), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.3933508537444743), 'upper': np.float64(0.41002576112519085), 'width': np.float64(0.01667490738071653)}",2015
37.89473684210526,5.754669358909641,456,"{'I': np.float64(0.8263246619363909), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.3928832206357663), 'upper': np.float64(0.4095564754676855), 'width': np.float64(0.01667325483191917)}",2015
38.94736842105263,5.691569914184756,451,"{'I': np.float64(0.8260373433748104), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.3934989535791959), 'upper': np.float64(0.4103008356624878), 'width': np.float64(0.01680188208329192)}",2015
40.0,5.590610802624937,443,"{'I': np.float64(0.8131491256348786), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.3935950934231651), 'upper': np.float64(0.41062748080986267), 'width': np.float64(0.017032387386697545)}",2015
