timestamp,country_year_list,n_total_data,channels_to_use,backbone,pretrained,mlp_layers,dropout,lr,batch_size,freeze_cnn,weight_decay,num_epochs,test_size,random_state,train_loss_progression,test_loss_progression,best_epoch,best_test_loss,model_name
2025-03-17 18:49:32,"['sg2019', 'sg2023']",1338,"['sentinel_rgb', 'sentinel_ndvi', 'sentinel_built_up', 'sentinel_nir', 'sentinel_swir1', 'sentinel_swir2', 'viirs_nightlights', 'viirs_gradient']",resnet18,True,[128],0.2,5e-05,16,False,0,10,0.2,42,"[0.06077753492396012, 0.023832271274214036, 0.016917384527275495, 0.011061754428006918, 0.009906945010281611, 0.007754816725919737, 0.006596110899558413, 0.005793334743895821, 0.00524562804515813, 0.0053257356980972205]","[0.016034105903844336, 0.011639260047518495, 0.010128426247401469, 0.008991262124879147, 0.007985909997638482, 0.0075476849034651, 0.006662332890694266, 0.006292979163465215, 0.005761221996439037, 0.006182180390929553]",9,0.005761221996439,
2025-03-17 19:02:20,"['sg2019', 'sg2023']",1338,"['sentinel_rgb', 'sentinel_ndvi', 'sentinel_built_up', 'sentinel_nir', 'sentinel_swir1', 'sentinel_swir2', 'viirs_nightlights', 'viirs_gradient']",resnet18,True,[128],0.2,5e-05,16,False,0,25,0.2,42,"[0.058214006210877516, 0.02524844969962245, 0.018483848269228068, 0.014141731351509552, 0.01070895828654833, 0.00895332977628318, 0.007522769066043824, 0.006186419504337778, 0.005892922489459966, 0.005670032268999336, 0.00517477536069177, 0.005241134459866541, 0.004717901925269131, 0.004525784956656884, 0.004391797246394035, 0.00438641228051595, 0.004231495858457323, 0.004345740758265569, 0.0037148216600033724, 0.004017079644183689, 0.0035048486112190464, 0.003839093703062874, 0.0035745367320759273, 0.003892845604742799, 0.0036807257734308733]","[0.01594370614681671, 0.010555970830036633, 0.0093691347709009, 0.008004903411075695, 0.008948087233549623, 0.006510560233979973, 0.005977039475605559, 0.006333137202118315, 0.006243984673672647, 0.007093302349546062, 0.0063693123633292185, 0.005605851230559064, 0.005840145190482709, 0.0058092428023801814, 0.0057055037607675165, 0.005505541867729443, 0.005383151583373547, 0.005649522217963614, 0.005075034518628868, 0.005275443766210506, 0.0050286633351734325, 0.005054227840989384, 0.00507527155064936, 0.005201515859799154, 0.005862038749367443]",21,0.0050286633351734,
2025-03-17 19:12:48,"['sg2019', 'sg2023']",1338,"['sentinel_rgb', 'sentinel_ndvi', 'sentinel_built_up', 'sentinel_nir', 'sentinel_swir1', 'sentinel_swir2', 'viirs_nightlights', 'viirs_gradient']",resnet18,True,[128],0.2,0.0001,8,False,0,10,0.2,42,"[0.04172830997713815, 0.014898162557978496, 0.008999638490935909, 0.0074546026962452406, 0.006544749303851451, 0.005205861441616978, 0.00556098141350618, 0.004578274211228312, 0.004887144498213708, 0.004945878946509595]","[0.018772593810598353, 0.00782833131614016, 0.006450114028055722, 0.0060936459965670285, 0.005749152764789204, 0.007311977175022684, 0.005424655473499156, 0.005874523239682859, 0.0058435824814377655, 0.007140863148161947]",7,0.0054246554734991,
2025-03-17 19:18:29,"['sg2019', 'sg2023']",1338,"['sentinel_rgb', 'sentinel_ndvi', 'sentinel_built_up', 'sentinel_nir', 'sentinel_swir1', 'sentinel_swir2', 'viirs_nightlights', 'viirs_gradient']",resnet18,True,[128],0.2,5e-05,8,False,0,10,0.2,42,"[0.030703679446096175, 0.014208153710987801, 0.009805921131362007, 0.008682405339362466, 0.006526438830960019, 0.005518060595571786, 0.005156760543550008, 0.0049402484601737805, 0.004850700251305493, 0.004519710222598618]","[0.01340357362251006, 0.00916867488439181, 0.008135623924100577, 0.007635581737154845, 0.00664947843769871, 0.00692279107604565, 0.006212250103673606, 0.005658036393266338, 0.0053265906067620685, 0.005559171174666775]",9,0.005326590606762,
2025-03-17 19:23:21,"['sg2019', 'sg2023']",1338,"['sentinel_rgb', 'sentinel_ndvi', 'sentinel_built_up', 'sentinel_nir', 'sentinel_swir1', 'sentinel_swir2', 'viirs_nightlights', 'viirs_gradient']",resnet18,False,[128],0.2,0.0001,8,False,0,10,0.2,42,"[0.02715527050406019, 0.00951508232697009, 0.009028174618485376, 0.008022826467858298, 0.007268016303184434, 0.007003485856177372, 0.007256547439077468, 0.007233070832825153, 0.006897175532252153, 0.006459434138976525]","[0.008628429879726314, 0.007567221305763989, 0.0061678573299797056, 0.007271071861206151, 0.005004762605861274, 0.005064629066957912, 0.00603127071925842, 0.006277471078809963, 0.005919517139528892, 0.011508075374442695]",5,0.0050047626058612,
2025-03-17 19:27:58,"['sg2019', 'sg2023']",1338,"['sentinel_rgb', 'sentinel_ndvi', 'sentinel_built_up', 'sentinel_nir', 'sentinel_swir1', 'sentinel_swir2', 'viirs_nightlights', 'viirs_gradient']",resnet18,False,[128],0.2,5e-05,8,False,0,10,0.2,42,"[0.027742183198020836, 0.010963374323202907, 0.009085431137931681, 0.0070660068083415245, 0.007608122393384436, 0.007536759166586622, 0.007152684283590762, 0.006976489760155712, 0.006647992990562849, 0.005953189035851474]","[0.01565114119256944, 0.014058155980683974, 0.012036743261086853, 0.010885674659329565, 0.00945190624542423, 0.006064903484518404, 0.006155162837717738, 0.009080664908040815, 0.0055308710095653335, 0.005555492565174823]",9,0.0055308710095653,
2025-03-17 19:36:34,"['sg2019', 'sg2023']",1338,"['sentinel_rgb', 'sentinel_ndvi', 'sentinel_built_up', 'sentinel_nir', 'sentinel_swir1', 'sentinel_swir2', 'viirs_nightlights', 'viirs_gradient']",resnet50,True,[128],0.2,0.0001,8,False,0,10,0.2,42,"[0.013399147637466961, 0.009551354782725468, 0.007769421579438114, 0.007033261073596567, 0.005910732198471778, 0.00592388779786633, 0.004851332023548328, 0.005212577331428216, 0.004611066371968417, 0.004324907412595838]","[0.008263792566357375, 0.007653453178814987, 0.006158748700686578, 0.006923839005071725, 0.005846031027526331, 0.005522022344373555, 0.004853674799634783, 0.005011288327540257, 0.004893292233333992, 0.0047046676358041255]",10,0.0047046676358041,
2025-03-17 19:45:31,"['sg2019', 'sg2023']",1338,"['sentinel_rgb', 'sentinel_ndvi', 'sentinel_built_up', 'sentinel_nir', 'sentinel_swir1', 'sentinel_swir2', 'viirs_nightlights', 'viirs_gradient']",resnet50,True,[128],0.2,5e-05,8,False,0,10,0.2,42,"[0.018047027632803005, 0.008767233043038678, 0.006606457633984702, 0.006124761854690091, 0.006815807727191632, 0.006207533360885404, 0.005239987622720198, 0.005717737460073745, 0.006023207287713189, 0.0055341416138668205]","[0.00925725369033084, 0.007289354286309498, 0.01002703933045268, 0.006582008393258968, 0.0065094630525850536, 0.005548079484211865, 0.005251012773795137, 0.008744210845776904, 0.005796953973207456, 0.005355900410673956]",7,0.0052510127737951,
2025-03-17 19:56:28,"['sg2019', 'sg2023']",1338,"['sentinel_rgb', 'sentinel_ndvi', 'sentinel_built_up', 'sentinel_nir', 'sentinel_swir1', 'sentinel_swir2', 'viirs_nightlights', 'viirs_gradient']",resnet50,False,[128],0.2,0.0001,8,False,0,10,0.2,42,"[0.03766528103396157, 0.01191136683903147, 0.013350175146152762, 0.011321944287307909, 0.012202009147851267, 0.011456463368017679, 0.01265682170742026, 0.011316370453998864, 0.011756991015782006, 0.01169569329750315]","[0.04882969840693829, 0.015092983348434097, 0.023333322583461432, 0.0063900837167374675, 0.009244038129169772, 0.08186473791251209, 0.013605751611514767, 0.006132500348682168, 0.014907816341563837, 0.007659352308055803]",8,0.0061325003486821,
2025-03-17 20:07:07,"['sg2019', 'sg2023']",1338,"['sentinel_rgb', 'sentinel_ndvi', 'sentinel_built_up', 'sentinel_nir', 'sentinel_swir1', 'sentinel_swir2', 'viirs_nightlights', 'viirs_gradient']",resnet50,False,[128],0.2,5e-05,8,False,0,10,0.2,42,"[0.022133502209228332, 0.011441477597038322, 0.010850140769208703, 0.01246592587504153, 0.010938251042895229, 0.011154122224565003, 0.010437190335975071, 0.011124176958523621, 0.009831133435227882, 0.010065154223833406]","[0.03647537522865876, 0.04476166770223584, 0.034160264208217835, 0.0209583029734777, 0.00864822158256351, 0.02301346104758889, 0.08126513548056359, 0.016357344915784562, 0.013058495082294763, 0.06361263577214707]",5,0.0086482215825635,
2025-03-17 20:13:34,"['sg2019', 'sg2023']",1338,"['sentinel_rgb', 'sentinel_ndvi', 'sentinel_built_up', 'sentinel_nir', 'sentinel_swir1', 'sentinel_swir2', 'viirs_nightlights', 'viirs_gradient']",efficientnet_b0,True,[128],0.2,0.0001,8,False,0,10,0.2,42,"[0.01926510884452646, 0.009468314004626787, 0.008952379009085838, 0.00824668223177579, 0.006609267432886724, 0.005987595540480079, 0.005291303195860063, 0.005729864777944913, 0.005302645551545597, 0.004876788755635095]","[0.012558705263785016, 0.011115604024658452, 0.009285945476574907, 0.008578638549643889, 0.007829963632706386, 0.0077009656911354455, 0.0073299855167574405, 0.007782533247051622, 0.007609727212102778, 0.007082057755384872]",10,0.0070820577553848,
2025-03-17 20:19:54,"['sg2019', 'sg2023']",1338,"['sentinel_rgb', 'sentinel_ndvi', 'sentinel_built_up', 'sentinel_nir', 'sentinel_swir1', 'sentinel_swir2', 'viirs_nightlights', 'viirs_gradient']",efficientnet_b0,True,[128],0.2,5e-05,8,False,0,10,0.2,42,"[0.02801202478183207, 0.011481423682977106, 0.0091423172294815, 0.007882567091244403, 0.008305050688142948, 0.007177042667797514, 0.006545681542951927, 0.005831798958531189, 0.005243278638172512, 0.005654734091955089]","[0.016534918196388144, 0.011798533103637286, 0.0112129713533752, 0.009516714189423998, 0.009816087577352995, 0.00921332237741618, 0.00807287388328296, 0.008105574054087497, 0.008079655520590161, 0.00812034648773608]",7,0.0080728738832829,
