threshold,percent_cells_labelled,num_cells_labelled,spatial_autocorr,confidence_interval,year
30.0,10.676426047450782,846,"{'I': np.float64(0.8608287026928806), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.4688226069561245), 'upper': np.float64(0.4807769935707705), 'width': np.float64(0.011954386614645984)}",2023
30.263157894736842,10.651186269560828,844,"{'I': np.float64(0.8604327199070364), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.46893440547655346), 'upper': np.float64(0.4808972539381547), 'width': np.float64(0.011962848461601228)}",2023
30.526315789473685,10.625946491670874,842,"{'I': np.float64(0.8599341896149851), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.4692357765362035), 'upper': np.float64(0.4811977984707362), 'width': np.float64(0.011962021934532663)}",2023
30.789473684210527,10.562847046945986,837,"{'I': np.float64(0.8604279453085801), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.46925885592247113), 'upper': np.float64(0.4812580093171564), 'width': np.float64(0.011999153394685269)}",2023
31.05263157894737,10.512367491166078,833,"{'I': np.float64(0.8605460042743518), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.46920417741192505), 'upper': np.float64(0.4812433728267585), 'width': np.float64(0.012039195414833448)}",2023
31.31578947368421,10.41140837960626,825,"{'I': np.float64(0.8595940093339942), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.4690338680712731), 'upper': np.float64(0.4811325766492027), 'width': np.float64(0.012098708577929607)}",2023
31.57894736842105,10.348308934881373,820,"{'I': np.float64(0.8638594303565077), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.4692031125478582), 'upper': np.float64(0.4812920471133466), 'width': np.float64(0.01208893456548843)}",2023
31.842105263157894,10.335689045936396,819,"{'I': np.float64(0.8638833718443405), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.46924610512111997), 'upper': np.float64(0.48134826084682325), 'width': np.float64(0.012102155725703279)}",2023
32.10526315789474,10.272589601211509,814,"{'I': np.float64(0.8667605715086083), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.46916743060090577), 'upper': np.float64(0.48130945247271134), 'width': np.float64(0.012142021871805575)}",2023
32.368421052631575,10.2221100454316,810,"{'I': np.float64(0.872702178781201), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.46914476961325124), 'upper': np.float64(0.48129981247832854), 'width': np.float64(0.012155042865077292)}",2023
32.63157894736842,10.184250378596667,807,"{'I': np.float64(0.8728855905719), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.469292184075362), 'upper': np.float64(0.48148047419374274), 'width': np.float64(0.01218829011838074)}",2023
32.89473684210526,10.17163048965169,806,"{'I': np.float64(0.8798317734449237), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.469013153274688), 'upper': np.float64(0.4811594873093999), 'width': np.float64(0.012146334034711881)}",2023
33.1578947368421,10.159010600706713,805,"{'I': np.float64(0.8798158542319631), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.4689519180593487), 'upper': np.float64(0.48111147744585864), 'width': np.float64(0.012159559386509922)}",2023
33.421052631578945,10.108531044926805,801,"{'I': np.float64(0.8798071580193668), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.46896260228024583), 'upper': np.float64(0.48117253676874555), 'width': np.float64(0.012209934488499719)}",2023
33.68421052631579,10.058051489146894,797,"{'I': np.float64(0.8782588955451476), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.46880194604138786), 'upper': np.float64(0.4809984064416883), 'width': np.float64(0.012196460400300424)}",2023
33.94736842105263,10.020191822311963,794,"{'I': np.float64(0.8769879212363966), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.46866279714956977), 'upper': np.float64(0.48085654939018957), 'width': np.float64(0.012193752240619804)}",2023
34.21052631578947,9.969712266532055,790,"{'I': np.float64(0.8812949900486777), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.46860164112446573), 'upper': np.float64(0.4808285472256189), 'width': np.float64(0.012226906101153179)}",2023
34.473684210526315,9.931852599697123,787,"{'I': np.float64(0.881004089989051), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.4685549151831029), 'upper': np.float64(0.4808018336148836), 'width': np.float64(0.012246918431780718)}",2023
34.73684210526316,9.868753154972236,782,"{'I': np.float64(0.8806683255516381), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.46874003122697483), 'upper': np.float64(0.4810459268883084), 'width': np.float64(0.012305895661333555)}",2023
35.0,9.818273599192327,778,"{'I': np.float64(0.8788759034167997), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.4682927731648401), 'upper': np.float64(0.48058869733456655), 'width': np.float64(0.012295924169726469)}",2023
