threshold,percent_cells_labelled,num_cells_labelled,spatial_autocorr,confidence_interval,year
30.0,6.776880363452801,537,"{'I': np.float64(0.8944483412835048), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.42997694809284986), 'upper': np.float64(0.44765291382677225), 'width': np.float64(0.017675965733922383)}",2018
30.263157894736842,6.73902069661787,534,"{'I': np.float64(0.8942932033921142), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.4297518595694621), 'upper': np.float64(0.4474857851762411), 'width': np.float64(0.017733925606779)}",2018
30.526315789473685,6.701161029782939,531,"{'I': np.float64(0.8940218579042426), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.43009453818599297), 'upper': np.float64(0.4478894695398715), 'width': np.float64(0.01779493135387855)}",2018
30.789473684210527,6.663301362948006,528,"{'I': np.float64(0.8934227438778094), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.4304079640375766), 'upper': np.float64(0.44822829652783897), 'width': np.float64(0.01782033249026238)}",2018
31.05263157894737,6.612821807168097,524,"{'I': np.float64(0.8939738321219165), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.43077575230417453), 'upper': np.float64(0.44871046657283387), 'width': np.float64(0.017934714268659335)}",2018
31.31578947368421,6.60020191822312,523,"{'I': np.float64(0.8930357552146164), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.43044512048294764), 'upper': np.float64(0.4483648777225559), 'width': np.float64(0.01791975723960826)}",2018
31.57894736842105,6.562342251388189,520,"{'I': np.float64(0.8991556549736428), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.4296445543490208), 'upper': np.float64(0.4475605725337123), 'width': np.float64(0.017916018184691462)}",2018
31.842105263157894,6.549722362443211,519,"{'I': np.float64(0.899208291353562), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.42965337620795335), 'upper': np.float64(0.4476037373170834), 'width': np.float64(0.017950361109130064)}",2018
32.10526315789474,6.499242806663301,515,"{'I': np.float64(0.8998801518144899), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.42869045221640845), 'upper': np.float64(0.44667080786672064), 'width': np.float64(0.017980355650312196)}",2018
32.368421052631575,6.461383139828369,512,"{'I': np.float64(0.9059899479228898), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.42825489201539657), 'upper': np.float64(0.44619680235449843), 'width': np.float64(0.017941910339101863)}",2018
32.63157894736842,6.448763250883392,511,"{'I': np.float64(0.9057511807594693), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.4283308396465731), 'upper': np.float64(0.4463043503179657), 'width': np.float64(0.017973510671392634)}",2018
32.89473684210526,6.4109035840484605,508,"{'I': np.float64(0.9054538069330513), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.42798836030187815), 'upper': np.float64(0.44605091713621914), 'width': np.float64(0.018062556834340993)}",2018
33.1578947368421,6.398283695103483,507,"{'I': np.float64(0.9047927121699814), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.42774495897054304), 'upper': np.float64(0.4458190659782069), 'width': np.float64(0.018074107007663875)}",2018
33.421052631578945,6.373043917213529,505,"{'I': np.float64(0.9055071075452832), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.42753502072423605), 'upper': np.float64(0.4456268825556157), 'width': np.float64(0.018091861831379674)}",2018
33.68421052631579,6.347804139323573,503,"{'I': np.float64(0.9064435059455392), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.4274413699105066), 'upper': np.float64(0.44560340087973743), 'width': np.float64(0.018162030969230858)}",2018
33.94736842105263,6.322564361433619,501,"{'I': np.float64(0.9064407613184542), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.4277295273106175), 'upper': np.float64(0.44594074885580576), 'width': np.float64(0.018211221545188283)}",2018
34.21052631578947,6.322564361433619,501,"{'I': np.float64(0.9064407613184542), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.4277295273106175), 'upper': np.float64(0.44594074885580576), 'width': np.float64(0.018211221545188283)}",2018
34.473684210526315,6.2847046945986875,498,"{'I': np.float64(0.905139267602828), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.428049346666879), 'upper': np.float64(0.44628865238400217), 'width': np.float64(0.018239305717123178)}",2018
34.73684210526316,6.234225138818778,494,"{'I': np.float64(0.9081402175001856), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.4274504967682868), 'upper': np.float64(0.4457372272134776), 'width': np.float64(0.018286730445190802)}",2018
35.0,6.208985360928824,492,"{'I': np.float64(0.9077039774068397), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.42736346850531665), 'upper': np.float64(0.44571689169444156), 'width': np.float64(0.018353423189124918)}",2018
