threshold,percent_cells_labelled,num_cells_labelled,spatial_autocorr,confidence_interval,year
30.0,10.853104492680464,860,"{'I': np.float64(0.8597130612398897), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.4084542322928394), 'upper': np.float64(0.4206647541631634), 'width': np.float64(0.01221052187032401)}",2017
30.263157894736842,10.802624936900555,856,"{'I': np.float64(0.8596546694743592), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.40839840816108963), 'upper': np.float64(0.42065496201304564), 'width': np.float64(0.012256553851956009)}",2017
30.526315789473685,10.752145381120647,852,"{'I': np.float64(0.8587690504411708), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.40820491285340904), 'upper': np.float64(0.42048785512080683), 'width': np.float64(0.01228294226739779)}",2017
30.789473684210527,10.714285714285714,849,"{'I': np.float64(0.8583090677517856), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.40815454425323167), 'upper': np.float64(0.4204648759012895), 'width': np.float64(0.012310331648057837)}",2017
31.05263157894737,10.701665825340736,848,"{'I': np.float64(0.858362236012924), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.408162701211354), 'upper': np.float64(0.42048743135934497), 'width': np.float64(0.012324730147990959)}",2017
31.31578947368421,10.625946491670874,842,"{'I': np.float64(0.8571669882225378), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.4082342392836775), 'upper': np.float64(0.4205919196178364), 'width': np.float64(0.01235768033415885)}",2017
31.57894736842105,10.575466935890965,838,"{'I': np.float64(0.8583216600893762), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.40841144168490545), 'upper': np.float64(0.42081100481068584), 'width': np.float64(0.012399563125780388)}",2017
31.842105263157894,10.524987380111055,834,"{'I': np.float64(0.8595098196302439), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.40814336688727787), 'upper': np.float64(0.42050411539307114), 'width': np.float64(0.012360748505793273)}",2017
32.10526315789474,10.4997476022211,832,"{'I': np.float64(0.8594852883082167), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.4082879830846664), 'upper': np.float64(0.42067083024029117), 'width': np.float64(0.012382847155624765)}",2017
32.368421052631575,10.386168601716305,823,"{'I': np.float64(0.8587359103340526), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.40829701862315215), 'upper': np.float64(0.420778618288004), 'width': np.float64(0.01248159966485185)}",2017
32.63157894736842,10.36092882382635,821,"{'I': np.float64(0.8590266515830066), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.4081714421391391), 'upper': np.float64(0.4206775388727138), 'width': np.float64(0.012506096733574723)}",2017
32.89473684210526,10.310449268046442,817,"{'I': np.float64(0.8623755598093003), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.40815352476917083), 'upper': np.float64(0.42066987193741084), 'width': np.float64(0.012516347168240016)}",2017
33.1578947368421,10.285209490156486,815,"{'I': np.float64(0.8616895369088374), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.40796725832524655), 'upper': np.float64(0.42049048421331153), 'width': np.float64(0.012523225888064982)}",2017
33.421052631578945,10.234729934376578,811,"{'I': np.float64(0.8639472071842732), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.4079093194847482), 'upper': np.float64(0.4204770598754505), 'width': np.float64(0.012567740390702298)}",2017
33.68421052631579,10.196870267541644,808,"{'I': np.float64(0.864042752385568), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.40797938333878114), 'upper': np.float64(0.42057669089536076), 'width': np.float64(0.012597307556579618)}",2017
33.94736842105263,10.146390711761736,804,"{'I': np.float64(0.8641550387830127), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.407859562655084), 'upper': np.float64(0.42050807778046856), 'width': np.float64(0.012648515125384563)}",2017
34.21052631578947,10.146390711761736,804,"{'I': np.float64(0.8641550387830127), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.407859562655084), 'upper': np.float64(0.42050807778046856), 'width': np.float64(0.012648515125384563)}",2017
34.473684210526315,10.058051489146894,797,"{'I': np.float64(0.8568021630795525), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.4077120715335476), 'upper': np.float64(0.42041331373814117), 'width': np.float64(0.012701242204593566)}",2017
34.73684210526316,10.045431600201917,796,"{'I': np.float64(0.8566398889459966), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.4078138145682227), 'upper': np.float64(0.4205241804292272), 'width': np.float64(0.012710365861004491)}",2017
35.0,10.007571933366986,793,"{'I': np.float64(0.8569095759558691), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.4079643872860559), 'upper': np.float64(0.42071561837872284), 'width': np.float64(0.01275123109266696)}",2017
