hv000,hv001,hv005,wealth_index
SN8,1.0,1308253.0,-2.3344932549796704
SN8,1.0,1308253.0,-1.0382274998232546
SN8,1.0,1308253.0,-1.3838245145935197
SN8,1.0,1308253.0,-0.8121563489195583
SN8,1.0,1308253.0,-1.5234205495119026
SN8,1.0,1308253.0,1.1232813028375515
SN8,1.0,1308253.0,-0.8322838799248407
SN8,1.0,1308253.0,-0.474381802138295
SN8,1.0,1308253.0,-1.1311350923124903
SN8,1.0,1308253.0,-0.7500934613314725
SN8,1.0,1308253.0,-1.2621396320119385
SN8,1.0,1308253.0,-1.022945142212012
SN8,1.0,1308253.0,-0.6333937586032389
SN8,1.0,1308253.0,-0.787259060361757
SN8,1.0,1308253.0,-0.5238241760587391
SN8,1.0,1308253.0,-0.6527324073901818
SN8,1.0,1308253.0,-1.5540617437467097
SN8,1.0,1308253.0,-0.7242920706645279
SN8,1.0,1308253.0,-1.2677505638725413
SN8,1.0,1308253.0,-0.17909316888675586
SN8,2.0,3751585.0,-0.6216543494036826
SN8,2.0,3751585.0,-0.9159971479216127
SN8,2.0,3751585.0,-1.3171951802228765
SN8,2.0,3751585.0,-0.029785118165199118
SN8,2.0,3751585.0,-0.39792740961666095
SN8,2.0,3751585.0,0.22376281520152438
SN8,2.0,3751585.0,-0.3831328323468104
SN8,2.0,3751585.0,-0.5189683954162942
SN8,2.0,3751585.0,-0.6102706756104008
SN8,2.0,3751585.0,0.3092232190562896
SN8,2.0,3751585.0,-2.017480705916265
SN8,2.0,3751585.0,-0.07893088098893682
SN8,2.0,3751585.0,-0.5781252852601567
SN8,2.0,3751585.0,-0.8944750004842748
SN8,2.0,3751585.0,-0.0005415630688247685
SN8,2.0,3751585.0,-0.23952588149161333
SN8,2.0,3751585.0,-1.1482646761343278
SN8,2.0,3751585.0,-0.9734061511553534
SN8,2.0,3751585.0,-0.6301981618623228
SN8,2.0,3751585.0,-0.8209721369198103
SN8,2.0,3751585.0,-1.1152617327236598
SN8,2.0,3751585.0,-0.9051251805601502
SN8,3.0,1428023.0,-0.558835136973274
SN8,3.0,1428023.0,-1.295243949617373
SN8,3.0,1428023.0,-1.04734080991003
SN8,3.0,1428023.0,-1.4732410739103334
SN8,3.0,1428023.0,-0.6630198819573415
SN8,3.0,1428023.0,-1.0356886361085351
SN8,3.0,1428023.0,-1.088801526521235
SN8,3.0,1428023.0,-1.2732122412030376
SN8,3.0,1428023.0,-0.7676408822270684
SN8,3.0,1428023.0,-0.6960053838107695
SN8,3.0,1428023.0,-0.4472434079131057
SN8,3.0,1428023.0,-1.1078821386157913
SN8,3.0,1428023.0,-1.1146578892361059
SN8,3.0,1428023.0,-0.7445032492638226
SN8,3.0,1428023.0,-0.9083588330084206
SN8,3.0,1428023.0,0.35081589293873927
SN8,3.0,1428023.0,0.17709679798041938
SN8,3.0,1428023.0,-0.8750111647831085
SN8,3.0,1428023.0,-1.7337167948286565
SN8,4.0,2489214.0,-0.6397284504707978
SN8,4.0,2489214.0,-0.7128564315679502
SN8,4.0,2489214.0,-1.342041694925066
SN8,4.0,2489214.0,-0.9491344940153089
SN8,4.0,2489214.0,-1.491435125448265
SN8,4.0,2489214.0,-1.1875620002182055
SN8,4.0,2489214.0,-2.3190324700323313
SN8,4.0,2489214.0,-0.6289911302597628
SN8,4.0,2489214.0,-1.2571546767738844
SN8,4.0,2489214.0,0.33626102867861385
SN8,4.0,2489214.0,-0.7767833666495509
SN8,4.0,2489214.0,-0.6805594159391665
SN8,4.0,2489214.0,-0.008255707755602304
SN8,4.0,2489214.0,-0.7800128181853169
SN8,4.0,2489214.0,-0.655593277642918
